conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
HISTEVENT_TYPE:1,accident,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:2,armed conflict,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:3,assassination,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:4,battle,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:5,combat,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:6,duel,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:7,invasion,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:8,occupation,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:9,revolution,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:10,siege,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:11,war,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:12,boycott,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:13,broadcast,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:14,podcast,,HISTEVENT_TYPE:13,Index,GCI
HISTEVENT_TYPE:15,radio program,,HISTEVENT_TYPE:13,Index,GCI
HISTEVENT_TYPE:16,television program,,HISTEVENT_TYPE:13,Index,GCI
HISTEVENT_TYPE:17,burial,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:18,reburial,,HISTEVENT_TYPE:17,Index,GCI
HISTEVENT_TYPE:19,campaign,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:20,advertising campaign,,HISTEVENT_TYPE:19,Index,GCI
HISTEVENT_TYPE:21,military campaign,,HISTEVENT_TYPE:19,Index,GCI
HISTEVENT_TYPE:22,political campaign,,HISTEVENT_TYPE:19,Index,GCI
HISTEVENT_TYPE:23,celebration,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:24,anniversary,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:25,coming out,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:26,feast,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:27,festival,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:28,triumph,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:29,ceremony,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:30,academic ceremoniy,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:31,building ceremony,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:32,cultural ceremony,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:33,religious ceremony,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:34,commemoration,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:35,contest,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:36,competition,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:37,debate,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:38,race,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:39,rodeo,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:40,tournament,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:41,cremation,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:42,disaster,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:43,man-made disaster,,HISTEVENT_TYPE:42,Index,GCI
HISTEVENT_TYPE:44,natural disaster,,HISTEVENT_TYPE:42,Index,GCI
HISTEVENT_TYPE:45,shipwreck,,HISTEVENT_TYPE:42,Index,GCI
HISTEVENT_TYPE:46,draft,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:47,educational event,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
