conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
DESIGNATION:1,National Register of Historic Places,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:2,National Historic Landmark,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:3,National Monument,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,GCI
DESIGNATION:4,Local Listing,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,CRNHA
DESIGNATION:5,List of Classified Structures,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,CRNHA
DESIGNATION:6,Cultural Landscape Inventory,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,CRNHA
DESIGNATION:7,Historic American Building Survey,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,CRNHA
DESIGNATION:8,Historic American Engineering Record,,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.csv,Index,CRNHA
