conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
XREF_TYPE:1,List of Classified Structures (LCS),,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
XREF_TYPE:2,Historic American Buildings Survey (HABS),,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
XREF_TYPE:3,National Register of Historic Places (NRIS Reference Number),,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
XREF_TYPE:4,Cammie G. Henry Research Library Reference Number,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
XREF_TYPE:5,Cane River National Heritage Area Catalog Number,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
XREF_TYPE:6,Building Permit Number,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
XREF_TYPE:7,URL,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
XREF_TYPE:8,Property Identification Number,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
XREF_TYPE:9,National Archives Record Number,,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
