conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
USE_TYPE:1,Historic,,HERITAGE_RESOURCE_USE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
USE_TYPE:2,Current,,HERITAGE_RESOURCE_USE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
